service_name,provider_name,care_type,organisation_type,address,suburb,postcode,latitude,longitude,source_note
Mercy Home & Community Care - EACH Southern,Mercy Aged and Community Care Ltd,Home Care,Charitable,259 Jasper Road,Mckinnon,3204,-37.912036,145.042585,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Northern Metro Care Packages Project,Fronditha Care,Home Care,Community Based,16 Anzed Court,Mulgrave,3170,-37.9210959999999,145.15018,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Partners In Care - General,RusCare Ltd,Home Care,Religious,13 Conway Street,Dandenong,3175,-37.996775,145.202887,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Partners In Care - Non English Speaking Background,RusCare Ltd,Home Care,Religious,13 Conway Street,Dandenong,3175,-37.996775,145.202887,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
RDNS Community Care Southern Melbourne,Royal District Nursing Service Limited,Home Care,Charitable,92 Kooyong Road,Caulfield North,3161,-37.8705339999999,145.018139999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Southern Metro Care Packages Project,Fronditha Care,Home Care,Community Based,16 Anzed Court,Mulgrave,3170,-37.9210959999999,145.15018,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Baptcare - Southern HCP 4,Baptcare Ltd,Home Care,Religious,"Level 1, 280 Thomas Street",Dandenong,3175,-37.9858589999999,145.212851,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Baptcare - Southern HCP 3,Baptcare Ltd,Home Care,Religious,"Level 1, 280 Thomas Street",Dandenong,3175,-37.9858589999999,145.212851,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
St John of Kronstadt Southern Metro EACH,RusCare Ltd,Home Care,Religious,13 Conway Street,Dandenong,3175,-37.996775,145.202887,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
St John's Park,Anglican Aged Care Services Group,Home Care,Religious,"LEVEL 1, 15-33 ALFRED STREET",Blackburn,3130,-37.8200519999999,145.158633,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Uniting AgeWell Eastern Metro Home Care,Uniting Agewell Limited,Home Care,Religious,9 JOLIMONT Road,Forest Hill,3131,-37.842917,145.172682,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Vietnamese HCPs Eastern Metro,Australian Vietnamese Women's Association,Home Care,Community Based,8 Parsons Avenue,Springvale,3171,-37.945565,145.150963999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Vision Australia Care Packages - Southern Metro,Vision Australia Limited,Home Care,Charitable,45 Princes Highway,Dandenong,3175,-37.9828419999999,145.211252,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Western Metro Care Packages Project,Fronditha Care,Home Care,Community Based,16 ANZED COURT,Mulgrave,3170,-37.9210989999999,145.150198999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Wintringham - Southern Metro Region,WINTRINGHAM LIMITED,Home Care,Charitable,372 South Road,Moorabbin,3189,-37.9337459999999,145.038299999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Wintringham - South East Metro Region,WINTRINGHAM LIMITED,Home Care,Charitable,"Unit 22, 31 Fiveways Boulevard",Keysborough,3173,-37.989674,145.153528999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
mecwacare Home Care Packages (Western Metro Region),MECWA,Home Care,Community Based,1287 Malvern Road,Malvern,3144,-37.852367,145.036581,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
mecwacare Home Care Packages (Eastern Metro Region),MECWA,Home Care,Community Based,1287 Malvern Road,Malvern,3144,-37.852367,145.036581,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
mecwacare Home Care Packages (Northern Metro Region),MECWA,Home Care,Community Based,1287 Malvern Road,Malvern,3144,-37.852367,145.036581,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
CCSSCI Western Home Care,Chinese Community Social Services Centre Limited,Home Care,Charitable,56-60 RUTLAND ROAD,Box Hill,3128,-37.8204339999999,145.127657999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Parkglen Homecare Services,Parkglen Friendly Society Limited,Home Care,Charitable,360 Cheltenham Road,Keysborough,3173,-37.994056,145.164406,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Grand Cedar,Aged Care Group Pty Ltd,Residential,Private Incorporated Body,61-63 High Street Road,Ashwood,3147,-37.866106,145.097019999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
New Service - 2012 - Life Without Barriers (Victoria),Life Without Barriers,Home Care,Community Based,"Level 2, 1-7 Langhorne Street",Dandenong,3175,-37.9867229999999,145.214722999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Cumberland View Hostel Home Care Packages,The Village Care Managers Pty Ltd,Home Care,Private Incorporated Body,123-127 Whalley Drive,Wheelers Hill,3150,-37.922744,145.198647999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
