stop_id,stop_name,latitude,longitude
10902,Namatjira Park/Springs Rd,-37.93325252,145.10871051
10903,St Andrews PS/Bunney Rd,-37.93461425,145.1082091
10906,Wilson St/Argus St,-37.95847942,145.06074903
10907,Rosewarne Ave/Argus St,-37.95881079,145.06335815
10909,Primrose Ave/Cavanagh St,-37.95678203,145.06657552
10914,Bourke Rd/Clarinda Rd,-37.93996467,145.09799006
10915,Elliminya Ct/Clarinda Rd,-37.93820406,145.09834267
10916,Tatiara Ave/Clarinda Rd,-37.93526634,145.09890766
10917,Clarinda Rd/Bunney Rd,-37.93357154,145.09998672
11,Newton Gr/Gallaghers Rd,-37.87744457,145.17856045
11124,Bald Hill Park/Bunney Rd,-37.93419956,145.10484041
11127,Payne St/Kambrook Rd,-37.87821259,145.03526251
11138,Wilgra Cres/Booran Rd,-37.88310865,145.03596242
11170,Coniston Dr/Marykirk Dr,-37.9122499,145.19208025
11171,Chipping Hill Ct/Marykirk Dr,-37.91159347,145.19334755
11172,Harlingford Ct/Garnett Rd,-37.91109826,145.19572561
11173,Bladen St/Garnett Rd,-37.91287681,145.19828704
11174,Bellara Way/Garnett Rd,-37.9155168,145.20001995
11175,Tanya Pl/Garnett Rd,-37.91905368,145.19970621
11176,Whalley Dr/Garnett Rd,-37.92201123,145.19922454
11177,Carol St/Borg Cres,-37.89791111,145.22219361
11178,Sandvyk Ct/Borg Cres,-37.8965233,145.22040739
11179,Redcourt Reserve/Taunton Cres,-37.89546395,145.22008036
11180,Boyd Ct/Taunton Cres,-37.89464693,145.21849655
11181,Seville Gr/Berrabri Dr,-37.89344504,145.21768399
11182,Blake Ct/Berrabri Dr,-37.89176505,145.21624617
11183,Paulette Ct/Berrabri Dr,-37.89000372,145.21776697
11184,Somes St/George St,-37.88911181,145.2213591
11250,Coreen Ave/Balcombe Rd,-37.97839791,145.04133726
11251,Plummer Rd/Florence St,-37.98205968,145.05891016
11252,Davies St/Florence St,-37.98247255,145.06263374
11254,Patty St/Nepean Hwy,-37.97819368,145.06766455
11255,Latrobe St/Nepean Hwy,-37.97516399,145.06536466
11256,Evesham St/Nepean Hwy,-37.96999512,145.06122012
11301,Warland Rd/Carrington St,-37.93585189,145.0336604
11302,Dane Rd/Spring Rd,-37.94075073,145.03345018
11303,Besant St/Spring Rd,-37.94274377,145.03299877
11308,June St/Bluff Rd,-37.94480124,145.02241769
11309,Abberfield Nursing Home/Bluff Rd,-37.94829525,145.02173224
11310,Sandringham College/Bluff Rd,-37.95054026,145.02126231
11311,Bay Rd/Bluff Rd,-37.95477038,145.02040902
11313,Ebden Ave/Balcombe Rd,-37.97581568,145.01845479
11314,Cullinane St/Balcombe Rd,-37.97616084,145.02075656
11315,Hunter Ave/Balcombe Rd,-37.97649481,145.02400358
11316,Summerhill Rd/Balcombe Rd,-37.9767862,145.02632961
11317,Haydens Rd/Balcombe Rd,-37.9771857,145.0302694
11318,Beaumaris Sec Col/Balcombe Rd,-37.9775248,145.03330006
11319,Reserve Rd/Balcombe Rd,-37.97830838,145.03543088
11320,Dalgetty Rd/Balcombe Rd,-37.97825255,145.03964477
11321,Coreen Ave/Balcombe Rd,-37.97851358,145.04178958
11322,Haywood St/Balcombe Rd,-37.97883884,145.04454748
11323,Ancona St/Florence St,-37.98229221,145.05989457
11324,Davies St/Florence St,-37.98262887,145.06227668
11327,Royal Oak Hotel/Nepean Hwy,-37.97287419,145.06367163
1141,McKean St/Dorking Rd,-37.8129975,145.13182167
11414,Ryans Rd/Clayton Rd,-37.95112937,145.1147278
11415,Tully Rd/Clayton Rd,-37.9475722,145.11544464
11416,Fraser Rd/Clayton Rd,-37.94449981,145.11604661
11417,Wellington Rd/Blackburn Rd,-37.9170595,145.1398735
11418,Princes Hwy/Blackburn Rd,-37.92076245,145.13924553
1142,Tyne St/Dorking Rd,-37.81093999,145.13221431
11423,Centre Rd/Springs Rd,-37.92806047,145.10975374
11424,Bond St/Springs Rd,-37.93030793,145.10941174
11425,Namatjira Park/Springs Rd,-37.93338929,145.1088094
11426,St Andrews Primary School/Bunney Rd ,-37.93460163,145.10742432
11427,Bald Hill Park/Bunney Rd,-37.9342606,145.10471368
11428,Clarinda Rd/Bunney Rd,-37.93366327,145.10008676
11429,Tatiara Ave/Clarinda Rd,-37.93552923,145.09900329
11430,Elliminya Ct/Clarinda Rd,-37.93828734,145.09847707
11431,Bourke Rd/Clarinda Rd,-37.93998507,145.09813746
11435,Primrose Ave/Cavanagh St,-37.95637948,145.0667568
11436,North Cheltenham Preschool/Friendship Sq,-37.95988841,145.06641438
11437,Cavanagh St/Friendship Sq,-37.95867816,145.06679896
11438,Fairview Ave/Argus St,-37.95908511,145.06469401
11439,Rosewarne Ave/Argus St,-37.9588975,145.063151
1144,Savaris Ct/Park Rd,-37.80172902,145.19164367
11440,Wilson St/Argus St,-37.9585984,145.06085971
11451,Harrow St/William St,-37.82218868,145.12778401
11452,Glenmore Street Reserve/William St,-37.82335633,145.12753864
11453,Albion Rd/William St,-37.82450633,145.12731644
11454,Victoria St/Albion Rd,-37.82502222,145.12972337
11455,Cherryhinton St/Barkly St,-37.82645456,145.13025529
11456,Jolie Gr/Barkly St,-37.82768546,145.13001971
11457,Canterbury Rd/Barkly St,-37.82923092,145.12973073
11458,Wembley Park/Canterbury Rd,-37.83002945,145.13348281
11459,Middleborough Rd/Canterbury Rd,-37.83045327,145.13748301
11460,Pakenham St/Canterbury Rd,-37.83079346,145.14019004
11462,Donald St/Canterbury Rd,-37.83115859,145.14333961
11463,Wreford Rd/Canterbury Rd,-37.83147651,145.14578593
11464,Canterbury Rd/Main St,-37.83157114,145.14836283
11465,Molleton St/Main St,-37.82884908,145.14890809
11466,Molleton St/Main St,-37.82875756,145.14881948
11467,Heath St/Main St,-37.82763472,145.14905205
11469,Linum St/Main St,-37.82450282,145.14932344
11470,The Avenue/Main St,-37.82339763,145.14953283
11475,Covenant House Aged Care/Blackburn Rd,-37.83230036,145.15635521
11476,Lagoona Ct/Canterbury Rd,-37.8329895,145.15892874
11477,Pacific Way/Mahoneys Rd,-37.8386301,145.16579982
11478,Paul Rd/Mahoneys Rd,-37.84026576,145.16550929
11479,Mahoneys Reserve/Mahoneys Rd,-37.84369092,145.16496985
11480,Romoly Dr/Mahoneys Rd,-37.84550674,145.16467482
11481,St Thomas Ret Village/Hawthorn Rd,-37.84649899,145.16704819
11482,Echunga Cl/Hawthorn Rd,-37.84751733,145.16936414
11483,Hawthorn Rd/Springvale Rd,-37.84757933,145.17045364
11485,Springvale Rd/Parkmore Rd,-37.84116381,145.17225996
11486,Cherryl St/Parkmore Rd,-37.84147196,145.17469561
11487,Everglade Ave/Parkmore Rd,-37.84176806,145.17693839
11488,Hampshire Rd/Parkmore Rd,-37.8420055,145.17888717
11489,Michael Ct/Hampshire Rd,-37.84338592,145.17898959
11490,Longbrae Ave/Jolimont Rd,-37.84401765,145.18021277
11491,Stevens Rd/Jolimont Rd,-37.84427428,145.1822407
11492,Wingrove St/Stevens Rd,-37.8429496,145.18283007
11493,Kingsley Ave/Stevens Rd,-37.84151208,145.18311536
11494,Husband Rd/Stevens Rd,-37.83998448,145.18340285
11495,Brentford Square SC/Stevens Rd,-37.83776506,145.18441183
11496,Rooks Rd/Canterbury Rd,-37.83638598,145.18732054
11497,Terrara Rd/Canterbury Rd,-37.83663637,145.19188245
11498,Mitcham Rd/Canterbury Rd,-37.83606474,145.19456676
11499,Grove St/Mitcham Rd,-37.83445916,145.19506042
11500,Malvern St/Mitcham Rd,-37.83280761,145.1949075
11501,Redland Dr/Mitcham Rd,-37.83162556,145.19481132
11502,Alwyn St/Mitcham Rd,-37.82854041,145.19461382
11503,Carween Ave/Mitcham Rd,-37.82678076,145.19446356
11504,Simpson St/Mitcham Rd,-37.82392931,145.19422629
11505,Barina Rd/High St,-37.86187574,145.06692144
11506,Lurnea Rd/High St,-37.86208817,145.06888238
11514,McWhae Ave/Glen Eira Rd,-37.87727225,145.00136164
11515,Bellavista Rd/High St,-37.86235082,145.0711603
11516,Orrong Rd/Glen Eira Rd,-37.87792092,145.00666496
11517,Hood Cres/Glen Eira Rd,-37.87856706,145.011832
11518,Kooyong Rd/Glen Eira Rd,-37.87904892,145.01582111
11519,Harcourt Ave/Glen Eira Rd,-37.87949732,145.01943598
11520,Glen Eira City Hall/Glen Eira Rd,-37.87988622,145.02273413
11521,Tennyson Ave/Glen Eira Rd,-37.88039264,145.02659767
11522,Bambra Rd/Glen Eira Rd,-37.88077601,145.0295777
